What is threading?,multipleChoice,23,12/28/15 15:18,1,1,2/26/16 15:18,12/28/15 15:18
How do you thread?,freeResponse,29,12/29/15 15:18,1,2,2/26/16 15:18,12/29/15 15:18
What do you like threading?,multipleChoice,23,12/30/15 15:18,1,3,2/26/16 15:18,12/30/15 15:18
What is racing?,freeResponse,12,12/31/15 15:18,1,4,2/26/16 15:18,12/31/15 15:18
What is Jframe?,multipleChoice,38,1/1/16 15:18,2,5,2/26/16 15:18,1/1/16 15:18
What is catalyst?,freeResponse,34,1/2/16 15:18,2,6,2/26/16 15:18,1/2/16 15:18
How to install?,multipleChoice,53,1/3/16 15:18,3,7,2/26/16 15:18,1/3/16 15:18
Where to go from here?,freeResponse,45,1/4/16 15:18,3,8,2/26/16 15:18,1/4/16 15:18
Do you like Java?,multipleChoice,34,1/5/16 15:18,3,9,2/26/16 15:18,1/5/16 15:18
What are objects?,freeResponse,53,1/6/16 15:18,4,10,2/26/16 15:18,1/6/16 15:18
What is boolean?,multipleChoice,38,1/7/16 15:18,4,11,2/26/16 15:18,1/7/16 15:18
Boolean vs. bool?,freeResponse,26,1/8/16 15:18,5,12,2/26/16 15:18,1/8/16 15:18
Do you like C++?,multipleChoice,26,1/9/16 15:18,6,13,2/26/16 15:18,1/9/16 15:18
What is BST?,freeResponse,56,1/10/16 15:18,6,14,2/26/16 15:18,1/10/16 15:18
What is Skip List?,multipleChoice,53,1/11/16 15:18,6,15,2/26/16 15:18,1/11/16 15:18
Do you like C?,freeResponse,62,1/12/16 15:18,6,16,2/26/16 15:18,1/12/16 15:18
What is n^2?,multipleChoice,42,1/13/16 15:18,7,17,2/26/16 15:18,1/13/16 15:18
What is 2n?,freeResponse,23,1/14/16 15:18,7,18,2/26/16 15:18,1/14/16 15:18
Do you like C#?,multipleChoice,29,1/15/16 15:18,8,19,2/26/16 15:18,1/15/16 15:18
Int vs. Integer?,freeResponse,23,1/16/16 15:18,8,20,2/26/16 15:18,1/16/16 15:18
True or False: C++ is a language,multipleChoice,12,1/17/16 15:18,8,21,2/26/16 15:18,1/17/16 15:18
log a metric!,freeResponse,38,1/18/16 15:18,9,22,2/26/16 15:18,1/18/16 15:18
Do you like Ada?,multipleChoice,34,1/19/16 15:18,9,23,2/26/16 15:18,1/19/16 15:18
Object vs. struct?,freeResponse,53,1/20/16 15:18,9,24,2/26/16 15:18,1/20/16 15:18
What is an object?,multipleChoice,45,1/21/16 15:18,9,25,2/26/16 15:18,1/21/16 15:18
Write a function?,freeResponse,34,1/22/16 15:18,9,26,2/26/16 15:18,1/22/16 15:18
Will this class help?,multipleChoice,53,1/23/16 15:18,10,27,2/26/16 15:18,1/23/16 15:18
Do you like me?,freeResponse,38,1/24/16 15:18,10,28,2/26/16 15:18,1/24/16 15:18
Do you like Prolog?,multipleChoice,26,1/25/16 15:18,10,29,2/26/16 15:18,1/25/16 15:18
What is one thing you learned?,freeResponse,26,1/26/16 15:18,11,30,2/26/16 15:18,1/26/16 15:18
How do we know?,multipleChoice,56,1/27/16 15:18,11,31,2/26/16 15:18,1/27/16 15:18
What do you like?,freeResponse,53,1/28/16 15:18,12,32,2/26/16 15:18,1/28/16 15:18
Are you on time?,multipleChoice,62,1/29/16 15:18,12,33,2/26/16 15:18,1/29/16 15:18
Will this class help?,freeResponse,42,1/30/16 15:18,12,34,2/26/16 15:18,1/30/16 15:18
Select one that is true,multipleChoice,23,1/31/16 15:18,12,35,2/26/16 15:18,1/31/16 15:18
Do you like D#?,freeResponse,29,2/1/16 15:18,12,36,2/26/16 15:18,2/1/16 15:18
Car project,multipleChoice,23,2/2/16 15:18,13,37,2/26/16 15:18,2/2/16 15:18
Nice project,freeResponse,12,2/3/16 15:18,13,38,2/26/16 15:18,2/3/16 15:18
Clicker project,multipleChoice,38,2/4/16 15:18,13,39,2/26/16 15:18,2/4/16 15:18
Will this class help?,freeResponse,34,2/5/16 15:18,13,40,2/26/16 15:18,2/5/16 15:18
Do you like MySQL?,multipleChoice,53,2/6/16 15:18,13,41,2/26/16 15:18,2/6/16 15:18
Do you care?,freeResponse,45,2/7/16 15:18,13,42,2/26/16 15:18,2/7/16 15:18
Networking,multipleChoice,34,2/8/16 15:18,14,43,2/26/16 15:18,2/8/16 15:18
Services,freeResponse,53,2/9/16 15:18,14,44,2/26/16 15:18,2/9/16 15:18
IT,multipleChoice,38,2/10/16 15:18,15,45,2/26/16 15:18,2/10/16 15:18
Will this class help?,freeResponse,26,2/11/16 15:18,16,46,2/26/16 15:18,2/11/16 15:18
Software engineering?,multipleChoice,26,2/12/16 15:18,16,47,2/26/16 15:18,2/12/16 15:18
More stuff here,freeResponse,56,2/13/16 15:18,17,48,2/26/16 15:18,2/13/16 15:18
Where to go from here?,multipleChoice,53,2/14/16 15:18,18,49,2/26/16 15:18,2/14/16 15:18
Do you like coding?,freeResponse,62,2/15/16 15:18,18,50,2/26/16 15:18,2/15/16 15:18
How to send info?,multipleChoice,42,2/16/16 15:18,18,51,2/26/16 15:18,2/16/16 15:18
Will this class help?,freeResponse,38,2/17/16 15:18,19,52,2/26/16 15:18,2/17/16 15:18
Does it need security?,multipleChoice,26,2/18/16 15:18,19,53,2/26/16 15:18,2/18/16 15:18
Do you like Javascript?,freeResponse,26,2/19/16 15:18,19,54,2/26/16 15:18,2/19/16 15:18
How to ensure password is good,multipleChoice,56,2/20/16 15:18,19,55,2/26/16 15:18,2/20/16 15:18
Will this class help?,freeResponse,53,2/21/16 15:18,20,56,2/26/16 15:18,2/21/16 15:18
What is a Lock?,multipleChoice,62,2/22/16 15:18,20,57,2/26/16 15:18,2/22/16 15:18
Do you like ReactJS?,freeResponse,42,2/23/16 15:18,21,58,2/26/16 15:18,2/23/16 15:18
What is a CV?,multipleChoice,62,2/24/16 15:18,21,59,2/26/16 15:18,2/24/16 15:18
How to mutex?,freeResponse,23,2/25/16 15:18,21,60,2/26/16 15:18,2/25/16 15:18
Where is the clock?,multipleChoice,34,2/26/16 15:18,21,61,2/26/16 15:18,2/26/16 15:18
